[INFO: 2023-07-07 05:20:31,416] Start training...
[INFO: 2023-07-07 05:22:01,304] Start training...
[INFO: 2023-07-07 05:48:44,047] Epoch [59/100] Validation Loss: 0.0369, Accuracy: 100.00%
[INFO: 2023-07-07 05:48:59,726] Epoch [60/100] Validation Loss: 0.0325, Accuracy: 100.00%
[INFO: 2023-07-07 05:49:15,460] Epoch [61/100] Validation Loss: 0.0290, Accuracy: 100.00%
[INFO: 2023-07-07 05:49:30,759] Epoch [62/100] Validation Loss: 0.0264, Accuracy: 100.00%
[INFO: 2023-07-07 05:49:46,448] Epoch [63/100] Validation Loss: 0.0234, Accuracy: 100.00%
[INFO: 2023-07-07 05:50:02,050] Epoch [64/100] Validation Loss: 0.0319, Accuracy: 100.00%
[INFO: 2023-07-07 05:50:17,373] Epoch [65/100] Validation Loss: 0.0210, Accuracy: 100.00%
[INFO: 2023-07-07 05:50:32,305] Epoch [66/100] Validation Loss: 0.0267, Accuracy: 100.00%
[INFO: 2023-07-07 05:50:49,378] Epoch [67/100] Validation Loss: 0.0216, Accuracy: 100.00%
[INFO: 2023-07-07 05:51:04,704] Epoch [68/100] Validation Loss: 0.0180, Accuracy: 100.00%
[INFO: 2023-07-07 05:51:20,669] Epoch [69/100] Validation Loss: 0.0154, Accuracy: 100.00%
[INFO: 2023-07-07 05:51:36,594] Epoch [70/100] Validation Loss: 0.0190, Accuracy: 100.00%
[INFO: 2023-07-07 05:51:52,500] Epoch [71/100] Validation Loss: 0.0210, Accuracy: 100.00%
[INFO: 2023-07-07 05:52:08,377] Epoch [72/100] Validation Loss: 0.0138, Accuracy: 100.00%
[INFO: 2023-07-07 05:52:24,174] Epoch [73/100] Validation Loss: 0.0142, Accuracy: 100.00%
[INFO: 2023-07-07 05:52:39,746] Epoch [74/100] Validation Loss: 0.0119, Accuracy: 100.00%
[INFO: 2023-07-07 05:52:55,149] Epoch [75/100] Validation Loss: 0.0136, Accuracy: 100.00%
[INFO: 2023-07-07 05:53:10,210] Epoch [76/100] Validation Loss: 0.0102, Accuracy: 100.00%
[INFO: 2023-07-07 05:53:25,980] Epoch [77/100] Validation Loss: 0.0100, Accuracy: 100.00%
[INFO: 2023-07-07 05:53:41,895] Epoch [78/100] Validation Loss: 0.0092, Accuracy: 100.00%
[INFO: 2023-07-07 05:53:57,714] Epoch [79/100] Validation Loss: 0.0089, Accuracy: 100.00%
[INFO: 2023-07-07 05:54:13,520] Epoch [80/100] Validation Loss: 0.0099, Accuracy: 100.00%
[INFO: 2023-07-07 05:54:31,006] Epoch [81/100] Validation Loss: 0.0130, Accuracy: 100.00%
[INFO: 2023-07-07 05:54:46,790] Epoch [82/100] Validation Loss: 0.0099, Accuracy: 100.00%
[INFO: 2023-07-07 05:55:02,571] Epoch [83/100] Validation Loss: 0.0120, Accuracy: 100.00%
[INFO: 2023-07-07 05:55:18,267] Epoch [84/100] Validation Loss: 0.0092, Accuracy: 100.00%
[INFO: 2023-07-07 05:55:34,185] Epoch [85/100] Validation Loss: 0.0082, Accuracy: 100.00%
[INFO: 2023-07-07 05:55:49,866] Epoch [86/100] Validation Loss: 0.0075, Accuracy: 100.00%
[INFO: 2023-07-07 05:56:05,488] Epoch [87/100] Validation Loss: 0.0103, Accuracy: 100.00%
[INFO: 2023-07-07 05:56:21,112] Epoch [88/100] Validation Loss: 0.0043, Accuracy: 100.00%
[INFO: 2023-07-07 05:56:36,641] Epoch [89/100] Validation Loss: 0.0049, Accuracy: 100.00%
[INFO: 2023-07-07 05:56:51,924] Epoch [90/100] Validation Loss: 0.0073, Accuracy: 100.00%
[INFO: 2023-07-07 05:57:07,214] Epoch [91/100] Validation Loss: 0.0061, Accuracy: 100.00%
[INFO: 2023-07-07 05:57:22,702] Epoch [92/100] Validation Loss: 0.0062, Accuracy: 100.00%
[INFO: 2023-07-07 05:57:38,565] Epoch [93/100] Validation Loss: 0.0061, Accuracy: 100.00%
[INFO: 2023-07-07 05:57:54,557] Epoch [94/100] Validation Loss: 0.0046, Accuracy: 100.00%
[INFO: 2023-07-07 05:58:12,156] Epoch [95/100] Validation Loss: 0.0088, Accuracy: 100.00%
[INFO: 2023-07-07 05:58:28,178] Epoch [96/100] Validation Loss: 0.0050, Accuracy: 100.00%
[INFO: 2023-07-07 05:58:44,165] Epoch [97/100] Validation Loss: 0.0060, Accuracy: 100.00%
[INFO: 2023-07-07 05:58:59,909] Epoch [98/100] Validation Loss: 0.0056, Accuracy: 100.00%
[INFO: 2023-07-07 05:59:15,619] Epoch [99/100] Validation Loss: 0.0088, Accuracy: 100.00%
